Sample	NMR_2-Methylbutyrate	NMR_Lactate	NMR_Alanine	NMR_Tyrosine	NMR_Isoleucine	NMR_Leucine	NMR_Valine	NMR_Lysine	NMR_Succinate	NMR_Glycine	NMR_b_arabinose	NMR_b_xylose	NMR_Acetate	NMR_Propionate	NMR_Butyrate	NMR_Glucose	NMR_Isovalerate	NMR_Uracil	NMR_Hypoxanthine	Tryptophan_Metabolites_5-hydroxyindole acetate	Tryptophan_Metabolites_melatonin (pg/mg)	Tryptophan_Metabolites_anthranilate (pg/mg)	Tryptophan_Metabolites_indole-3-propionic acid	Tryptophan_Metabolites_3-methylindole (relative; raw peak area only)	Tryptophan_Metabolites_Tryptophan	Tryptophan_Metabolites_Kynurenate (no IS)	Tryptophan_Metabolites_Kynurenine (no IS)	Tryptophan_Metabolites_Serotonin	Tryptophan_Metabolites_tryptamine	Tryptophan_Metabolites_indole-3-acetic acid (no IS)	Tryptophan_Metabolites_indole	BA_Metabolites_Deoxycholic acid	BA_Metabolites_Cholic acid	BA_Metabolites_Ursodeoxycholic acid	BA_Metabolites_Lithocholic acid	BA_Metabolites_Chenodeoxycholic acid	BA_Metabolites_Deoxycholic acid sulphate	BA_Metabolites_Taurocholic acid	BA_Metabolites_Glycocholic acid	BA_Metabolites_Taurodeoxycholic acid	BA_Metabolites_Glycodeoxycholic acid	BA_Metabolites_Glycochenodeoxycholic acid	BA_Metabolites_Taurochenodeoxycholic acid
69.T.5	10.40481242	17.86864835	41.87562113	8.442108722	18.6121667	41.66281197	18.25206135	15.47873385	18.58749559	12.15595945	4.001892942	2.922483113	109.2534222	25.79406208	33.90890372	3.460507764	17.83512821	1.851123221	1.722527299	0.0536	0.415159362	9.536933398	8.140893098	601199	57.59652574	0.525931514	0.258202404	1.077654415	0.655298229	100.5558105	36.43764019	1035.178117	45.54748011	20.04668435	1370.085676	10.75291777	NA	NA	NA	NA	NA	3.14270557	NA
4.T.2	11.04471086	16.66769087	56.87357757	8.0157032010000009	20.69622859	51.00330807	19.07937028	19.03641189	29.5273416	16.35761523	4.129037328	3.186693085	498.9746789	85.01993612	75.71067237	6.806982882	17.72715679	2.391829568	2.686626723	0.013	0.54660596	17.31486949	3.049630524	714304	23.78905694	0.788773908	0.176361191	0.16583257	0.815210832	152.741552	52.52581185	14509.00057	127.5474713	997.9944828	3241.745747	330.0527586	3.876666667	NA	NA	NA	45.92632184	22.85758621	NA
69.T.4	12.97401127	15.3491438	43.05703615	9.604327049	17.78387739	41.57592341	17.36371403	16.74098504	20.55348992	13.88294051	3.61266409	2.785197546	118.4010822	28.74782793	36.84402981	3.005321836	21.34871006	1.479213864	1.925705335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2668.916667	100.1424092	42.7130363	2756.001155	5.437623762	NA	NA	NA	NA	NA	3.442574257	NA
31.T.6	10.24187995	23.18655974	47.40284428	9.05199518	25.0167067	48.00701689	17.59093438	22.81620009	146.386123	46.04838958	4.999168968	5.924515423	530.9457493	68.82735085	57.74310214	8.185850815	26.14219614	1.691188272	1.325206859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6003.542593	23539.72542	2697.660269	68.61868687	11260.77576	1779.49899	2581.298822	5697.163636	240.4705387	2240.655724	9203.415657	2745.414646
28.T.1	14.13946009	43.81241022	130.7139446	10.49484717	55.29474844	101.1891744	42.13247023	33.779447	132.3330365	89.25419356	3.979640405	2.987202946	378.003464	55.44924663	49.248312	2.623119368	30.2968905	4.29620792	0.684800351	0.0935	0.649858489	18.39938843	0.794317243	7546812	122.3816805	0.545704226	0.147427498	0.588157295	2.235846668	1.37014341	64.00602161	9695.044901	91.64718417	500.3745814	1895.136377	103.7850837	NA	NA	16.19147641	NA	167.8512938	9.646879756	NA
56.T.6	11.5034824	14.58087247	55.26820775	9.354485863	19.59599476	45.98109963	17.6482918	28.74106266	29.90292032	15.05757858	4.009374361	3.412767735	296.1913894	58.2677276	46.10705007	2.323268421	27.31064609	2.512732195	3.24546027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7124.976621	260.9571672	159.0846416	2075.090102	113.8520478	4273.372867	NA	22.72389078	NA	123.7638225	76.93890785	NA
75.T.1	17.36799467	22.12775572	82.15130125	11.49418886	29.39228103	61.36529449	25.37749845	22.87877973	40.58663821	25.94100182	4.132037995	3.835992623	391.5007834	75.50860922	84.32245942	3.635840732	33.60378729	3.61511051	2.297639096	0.0149	0.569600734	8.699910925	2.584387186	2250957	28.83298274	0.748076475	0.113847372	0.434284838	0.383319644	46.41608899	51.51870942	9887.687097	25.34634975	330.9682513	1907.766214	60.07147708	NA	NA	NA	NA	18.70679117	10.65908319	NA
73.T.Flare	14.75826649	17.65165075	47.52071418	9.193593104	20.68614855	41.29474886	17.82734496	18.0761833	19.47319785	18.43978634	3.99336574	2.981922079	267.7527058	67.00215121	44.41774891	4.569851075	27.00945304	1.791715881	2.199886917	NA	0.241999642	6.819336416	1.593374628	1373796	9.551387335	0.871660247	0.050194684	1.800469002	0.26112039	34.13108316	12.52807185	526.3837079	40.37172285	18.61254682	1560.924906	14.91872659	2.587078652	NA	NA	NA	NA	11.18202247	NA
18.T.2	17.959163620000002	15.49936126	40.67826411	6.723025862	16.44786932	37.93424636	16.73632347	16.45035073	33.35944258	12.11842563	4.715084911	3.732212917	499.4907985	113.8964528	59.58275298	2.431811631	33.00768327	1.977961514	2.407596484	0.008	0.20782317	22.54685487	2.771570904	1366277	11.62945559	1.118908116	0.008208109	1.000235208	0.291605324	14.14699441	82.61696271	4335.099535	126.3881395	93.90837209	2979.75814	60.94697674	37.6044186	NA	37.4527907	NA	33.36372093	29.54627907	NA
48.T.5	10.59258231	15.65629953	49.49049931	8.78886274	18.2589958	43.36308319	17.41696222	16.47725035	23.71373498	15.51992315	4.747391529	4.548689868	789.6892374	92.71260064	158.2867369	8.128094232	25.2750971	1.892533807	1.897818241	0.08	0.10693607	4.287333643	10.57292673	28366	10.45272667	0.329232352	0.081007377	0.615719676	0.126596984	111.57969	30.73031953	15067.69475	1690.025328	521.0594747	1754.603002	425.5579737	3102.146154	731.3825516	1025.294184	894.3414634	527.7581614	210.2559099	178.8818011
68.T.Flare	8.39427218	12.90301044	27.62100193	3.309014384	9.451339921	25.41257091	8.07600423	10.5177914	14.96733239	16.36182159	7.093424156	5.350478865	69.14746013	18.80333947	22.1777201	4.012178505	19.7294775	1.063827676	0.876863815	0.0659	2.362150873	9.577827982	NA	799307	9.114395963	0.066205274	0.183169729	1.05866521	0.346371931	17.24092753	82.10633876	20505.63415	502.4904529	897.9407589	3777.828519	183.970869	NA	NA	NA	NA	NA	NA	NA
16.T.1	14.56345553	16.98951088	45.15729566	9.611521539	18.37312878	43.57895584	17.74570602	17.72527173	25.874921960000002	12.91237554	4.039360188	3.312299181	238.8175862	77.3491154	71.85654937	6.540287143	30.85430615	1.762987582	1.817140469	1.975278665	1.569238548	2.919848416	1.017405722	1591936	30.06838396	0.017248567	0.035128914	5.031304304	0.86837919	6.684884306	5.993147806	15223.36248	146.5621291	385.5277487	2727.41082	81.91832461	26.20383944	NA	NA	34.82216405	NA	15.391274	NA
2.T.1	10.64455968	23.12817223	61.00429415	14.52354831	33.02841159	76.67006588	27.84211914	27.50573795	23.98156523	32.20652517	4.50107163	3.2106428	423.1509679	92.8173245	87.00089772	10.31467083	26.27215706	1.810170055	1.410618929	0.233939093	12.98425133	2.8084507419999998	0.613304114	1561755	2.215635847	0.142904846	0.065608404	7.268632299	1.223225767	10.25514552	33.25334236	15546.0342	1203.430855	1148.484572	4978.573792	270.6197026	1100.526766	134.8289963	46.0866171	247.5288104	47.00018587	44.49869888	41.40223048
67.T.4	13.86455071	18.32389535	51.31594395	7.624623303	18.64426256	40.59539971	16.83448915	17.00426646	24.86459898	15.81623622	4.187701992	4.50102178	161.1405775	37.34924481	34.95476494	1.326571384	24.62276415	2.710449764	2.409831145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14611.16039	230.5318662	576.2984155	3547.38662	144.5734155	NA	NA	174.2225352	NA	116.9137324	63.86161972	NA
